t,ActivePower,Y(t-1),BearingShaftTemperature
1,-4.3192983,,43.08727512
2,48.31257092,-4.3192983,42.70116763
3,119.9551633,48.31257092,42.7898092
4,130.3702175,119.9551633,42.77419357
5,152.9411163,130.3702175,42.71203188
6,216.8716594,152.9411163,42.64978663
7,256.40243,216.8716594,42.5846425
8,322.0423988,256.40243,42.513032
9,501.0236305,322.0423988,42.53421211
10,463.0853821,501.0236305,42.46789322
11,458.3002228,463.0853821,42.41256486
12,465.6207321,458.3002228,42.40287113
13,361.2463728,465.6207321,42.3305689
14,367.4685763,361.2463728,42.21890078
15,356.1022956,367.4685763,42.14141163
16,431.4243089,356.1022956,42.0879185
17,268.6964859,431.4243089,42.02502867
18,208.6378226,268.6964859,41.95127914
19,245.3059553,208.6378226,41.88990363
20,257.1604106,245.3059553,41.82516663
21,239.3396526,257.1604106,41.77229675
22,268.167285,239.3396526,41.74895333
23,217.8800168,268.167285,41.71580825
24,242.4152862,217.8800168,41.6795795
25,186.5689503,242.4152862,41.64827571
26,167.967525,186.5689503,41.6339355
27,146.9245498,167.967525,41.63736688
28,143.9445937,146.9245498,41.62527233
29,193.9784321,143.9445937,41.64538457
30,129.5953959,193.9784321,41.6845414
31,183.2612476,129.5953959,41.69385086
32,278.4593961,183.2612476,41.7421858
33,269.4023328,278.4593961,41.80670772
34,138.4782424,269.4023328,41.835804
35,70.13357237,138.4782424,41.5274401
36,208.4833897,70.13357237,41.71972757
37,230.4973866,208.4833897,41.893063
38,11.62664802,230.4973866,41.826428
39,75.1319437,11.62664802,41.581459
40,60.07357692,75.1319437,41.8025521
41,-7.343777467,60.07357692,41.5213335
42,2.19820465,-7.343777467,41.12775638
43,-6.892682233,2.19820465,41.145863
44,-8.4844799,-6.892682233,40.8345586
45,-8.416044974,-8.4844799,40.5985334
46,-8.527578394,-8.416044974,40.4907925
47,-7.843406837,-8.527578394,40.3273195
48,-8.208676153,-7.843406837,40.1029223
49,-5.837502405,-8.208676153,40.0417881
50,-6.306670284,-5.837502405,40.03659688
51,11.92189191,-6.306670284,40.42777288
52,52.65957524,11.92189191,40.5347315
53,56.25735445,52.65957524,40.81376367
54,15.03686766,56.25735445,40.68569022
55,27.41681211,15.03686766,40.85858014
56,-4.628163183,27.41681211,40.922719
57,145.3813821,-4.628163183,41.00525525
58,-5.8629399,145.3813821,41.2201765
59,115.1789529,-5.8629399,41.25557713
60,76.70369098,115.1789529,41.55878138
61,163.5094958,76.70369098,41.49146578
62,166.6743985,163.5094958,41.86468425
63,61.1387111,166.6743985,41.81996475
64,135.6496137,61.1387111,42.04995188
65,227.1681782,135.6496137,42.30627075
66,412.8320424,227.1681782,42.53467822
67,402.4245717,412.8320424,42.82474571
68,397.0660222,402.4245717,42.95280425
69,546.7210378,397.0660222,43.25992538
70,383.2470208,546.7210378,43.42904863
71,210.8183792,383.2470208,43.5110486
72,287.8500803,210.8183792,43.628206
73,399.7227428,287.8500803,43.70894163
74,238.7464186,399.7227428,43.8207768
75,581.1999358,238.7464186,43.97430463
76,551.9331606,581.1999358,44.29157663
77,577.9179695,551.9331606,44.4175895
78,566.0013682,577.9179695,44.578052
79,571.6348663,566.0013682,44.68559457
80,717.6040072,571.6348663,44.9133452
81,400.3950526,717.6040072,44.817422
82,404.9126059,400.3950526,44.7486795
83,662.5931447,404.9126059,44.80123711
84,951.5508,662.5931447,45.56738756
85,921.9247989,951.5508,45.8627175
86,995.417055,921.9247989,46.34995844
87,828.8277683,995.417055,46.43959863
88,821.3522394,828.8277683,46.52453525
89,688.9892432,821.3522394,46.4637245
90,733.5181888,688.9892432,46.4737562
91,563.1114694,733.5181888,46.19558357
92,776.6177175,563.1114694,46.22434975
93,787.9872256,776.6177175,46.4263855
94,898.9432944,787.9872256,46.657598
95,902.4026563,898.9432944,46.93585175
96,1002.400648,902.4026563,47.12145411
97,955.0795995,1002.400648,47.335708
98,1161.403509,955.0795995,47.58745013
99,1228.059758,1161.403509,48.03503938
100,1162.14104,1228.059758,48.37290225
101,892.3167889,1162.14104,48.31601738
102,892.2441547,892.3167889,48.18823743
103,887.9778717,892.2441547,48.0491475
104,695.9267384,887.9778717,47.99016533
105,873.7443728,695.9267384,47.53788611
106,1060.080785,873.7443728,47.87943688
107,750.9707656,1060.080785,47.79084038
108,604.4938644,750.9707656,47.36196588
109,785.9861876,604.4938644,47.13206133
110,831.8082828,785.9861876,47.28351856
111,830.2157211,831.8082828,47.35393125
112,625.1923344,830.2157211,47.23426238
113,471.8893132,625.1923344,46.6236301
114,457.1051716,471.8893132,46.203689
115,412.7900272,457.1051716,46.005677
116,437.36432,412.7900272,45.79738375
117,461.2349158,437.36432,45.6325718
118,528.0444172,461.2349158,45.54072625
119,426.2411789,528.0444172,45.39784989
120,500.1071772,426.2411789,45.26919825
121,485.2887147,500.1071772,45.21255111
122,466.1631122,485.2887147,45.10626643
123,406.64213,466.1631122,44.96043033
124,584.5593942,406.64213,44.91521438
125,596.6279711,584.5593942,44.97296889
126,614.8305906,596.6279711,44.91497378
127,694.2465689,614.8305906,45.001493
128,687.2839805,694.2465689,45.07849138
129,552.8639216,687.2839805,44.94617988
130,587.3137683,552.8639216,44.8433086
131,455.7725432,587.3137683,44.61476138
132,357.6311194,455.7725432,44.45339586
133,318.0196522,357.6311194,44.21625875
134,273.2411347,318.0196522,44.042719
135,242.3124133,273.2411347,43.92509782
136,179.0749125,242.3124133,43.7550062
137,182.8387895,179.0749125,43.61250538
138,135.1313032,182.8387895,43.527176
139,140.6156408,135.1313032,43.3705991
140,207.3797505,140.6156408,43.24010513
141,114.6794569,207.3797505,43.14482675
142,223.3692994,114.6794569,43.04567011
143,193.3310128,223.3692994,42.94258286
144,140.7508917,193.3310128,42.83310589
145,182.7689444,140.7508917,42.7129176
146,189.7346589,182.7689444,42.63044744
147,113.0067731,189.7346589,42.50843263
148,92.42861995,113.0067731,42.427919
149,71.45127556,92.42861995,42.3126915
150,104.296156,71.45127556,42.21043388
151,64.798772,104.296156,42.121378
152,22.03004768,64.798772,42.02494538
153,-4.102183626,22.03004768,41.86920463
154,-6.162553372,-4.102183626,41.2222778
155,-5.979315063,-6.162553372,40.89598614
156,-6.028154195,-5.979315063,40.69459057
157,-6.022675878,-6.028154195,40.4896172
158,-5.970672917,-6.022675878,40.29641429
159,-5.990825883,-5.970672917,40.18276463
160,-5.570411582,-5.990825883,40.07924075
161,-6.362259726,-5.570411582,39.99122322
162,-6.058290994,-6.362259726,39.89179286
163,-5.775441622,-6.058290994,39.79870988
164,-5.8594588,-5.775441622,39.68386313
165,-5.146994684,-5.8594588,39.58590989
